ticker,outcome,venue,primary_exchange,con_id,candidates,detail,attempts,elapsed_s,unexpected_venue
EMFM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EMFQ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EMSG,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
EMTL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
ENTR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
EQLS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
EQOP,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.010,no
EQUL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ERM,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
ERNZ,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
ERSX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ESCR,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
ESEB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
ESGA,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.009,no
ESGB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
ESGL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ESGN,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.008,no
ESGS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
ESGY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.003,no
ESHY,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ESIX,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.006,no
ESUS,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
ETRL,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.007,no
EUSC,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
EV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.004,no
EVAV,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
EWCO,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.005,no
EWEB,not_found,,,,,no response after 2 attempt(s) — likely IBKR error 200,2,20.002,no
